Berlin	 New York	 16-08-2027
Sydney	 Chicago	 19-08-2027
Rome	 Los Angeles	 22-08-2027
Beijing	 Miami	 25-08-2027
Madrid	 Toronto	 28-08-2027
Tokyo	 Dubai	 31-08-2027
Montreal	 Houston	 03-09-2027
London	 Paris	 06-09-2027
Seoul	 London	 09-09-2027
Paris	 Tokyo	 12-09-2027
Berlin	 Montreal	 15-09-2027
Sydney	 Seoul	 18-09-2027
Rome	 Beijing	 21-09-2027
Beijing	 Madrid	 24-09-2027
Madrid	 Rome	 27-09-2027
Tokyo	 Sydney	 30-09-2027
Montreal	 Berlin	 03-10-2027
London	 Paris	 06-10-2027
Seoul	 Tokyo	 09-10-2027
Paris	 New York	 12-10-2027
Berlin	 Dallas	 15-10-2027
Paris	 Tokyo	 19-06-2026
Berlin	 Montreal	 22-06-2026
Sydney	 Seoul	 25-06-2026
Rome	 Beijing	 28-06-2026
Beijing	 Madrid	 01-07-2026
Madrid	 Rome	 04-07-2026
Tokyo	 Sydney	 07-07-2026
Montreal	 Berlin	 10-07-2026
London	 Paris	 13-07-2026
Seoul	 Tokyo	 16-07-2026
Paris	 New York	 19-07-2026
Berlin	 Dallas	 22-07-2026
Sydney	 London	 25-07-2026
Rome	 Montreal	 28-07-2026
Beijing	 Seoul	 31-07-2026
Madrid	 Paris	 03-08-2026
Tokyo	 Berlin	 06-08-2026
Montreal	 Sydney	 09-08-2026
London	 Rome	 12-08-2026
Seoul	 Beijing	 15-08-2026
Paris	 Madrid	 18-08-2026
Berlin	 Tokyo	 21-08-2026
Sydney	 Montreal	 24-08-2026
Rome	 London	 27-08-2026
Beijing	 Seoul	 30-08-2026
Madrid	 Paris	 02-09-2026
Tokyo	 New York	 05-09-2026
Montreal	 Dallas	 08-09-2026
London	 New York	 11-09-2026
Seoul	 San Francisco	 14-09-2026
Paris	 Chicago	 17-09-2026
Berlin	 Los Angeles	 20-09-2026
Sydney	 Dubai	 23-09-2026
Rome	 Miami	 26-09-2026
Beijing	 Toronto	 29-09-2026
Madrid	 Houston	 02-10-2026
Tokyo	 London	 05-10-2026
Montreal	 Paris	 08-10-2026
London	 Tokyo	 11-10-2026
Seoul	 Berlin	 14-10-2026
Paris	 Sydney	 17-10-2026
Berlin	 New York	 20-10-2026
Sydney	 Chicago	 23-10-2026
Rome	 Los Angeles	 26-10-2026
Beijing	 Miami	 29-10-2026
Madrid	 Toronto	 01-11-2026
Tokyo	 Dubai	 04-11-2026
Montreal	 Houston	 07-11-2026
London	 Paris	 10-11-2026
Seoul	 London	 13-11-2026
Paris	 Tokyo	 16-11-2026
Berlin	 Montreal	 19-11-2026
Sydney	 Seoul	 22-11-2026
Rome	 Beijing	 25-11-2026
Beijing	 Madrid	 28-11-2026
Madrid	 Rome	 01-12-2026
Tokyo	 Sydney	 04-12-2026
Montreal	 Berlin	 07-12-2026
London	 Paris	 10-12-2026
Seoul	 Tokyo	 13-12-2026
Paris	 New York	 16-12-2026
Berlin	 Dallas	 19-12-2026
Sydney	 London	 22-12-2026
Rome	 Montreal	 25-12-2026
Beijing	 Seoul	 28-12-2026
Madrid	 Paris	 31-12-2026
Tokyo	 Berlin	 03-01-2027
Montreal	 Sydney	 06-01-2027
London	 Rome	 09-01-2027
Seoul	 Beijing	 12-01-2027
Paris	 Madrid	 15-01-2027
Berlin	 Tokyo	 18-01-2027
Sydney	 Montreal	 21-01-2027
Rome	 London	 24-01-2027
Beijing	 Seoul	 27-01-2027
Madrid	 Paris	 30-01-2027
